Name,subg,Bark,Serotiny,Grass,Resprout,Pyrophillic,More_than_one_adaptation,Pyrophobic,in_NA,notes,numsites,Pinaceae,Cupressaceae,Taxaceae,Araucariaceae,Sciadopityaceae,Podocarpaceae,NW_Coast,Blues,NW_Inland,Klamath,NW_general,NW_Klamath,CA_Klam,CA_no_Klam,Sierra,Coastal_CA,AltoBaja,Basin,Mogollon,Madre_West,Madre_East,Trans_vol,Madre_South_new,SW_Jalisco,Chiapas,Mexico_only,Mexico_with_Mog,Gulf,Appalachia,Laurentian,Laur_App,Boreal_W,Boreal_E,Boreal_EW,Total_Eastern,Laur_E_W,Laur_and_Boreal_E,Carribean
Abies_amabilis,meow,0,0,0,0,0,0,1,1,meow,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abies_balsamea,meow,0,0,0,0,0,0,1,1,meow,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0
Abies_bracteata,meow,0,0,0,0,0,0,1,1,meow,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abies_concolor,meow,0,0,0,0,0,0,1,1,meow,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Abies_durangensis,meow,0,0,0,0,0,0,1,1,meow,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Abies_flinckii,meow,0,0,0,0,0,0,1,1,spans both nyarit,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Abies_fraseri,meow,0,0,0,0,0,0,1,1,meow,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Abies_grandis,meow,0,0,0,0,0,0,1,1,meow,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abies_guatemalensis,meow,0,0,0,0,0,0,1,1,ask,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Abies_hickelii,meow,0,0,0,0,0,0,1,1,reverse c,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
